CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATÉ 200 M²,200M² A 400M²,ACIMA DE 400M²
01.11-3-01,Cultivo de arroz,Alto,Alto,Alto
01.11-3-02,Cultivo de milho,Alto,Alto,Alto
01.11-3-03,Cultivo de trigo,Alto,Alto,Alto
01.11-3-99,Cultivo de outros cereais não especificados anteriormente,Alto,Alto,Alto
01.12-1-01,Cultivo de algodão herbáceo,Alto,Alto,Alto
01.12-1-02,Cultivo de juta,Alto,Alto,Alto
01.12-1-99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,Alto,Alto,Alto
01.13-0-00,Cultivo de cana-de-açúcar,Alto,Alto,Alto
01.14-8-00,Cultivo de fumo,Alto,Alto,Alto
01.15-6-00,Cultivo de soja,Alto,Alto,Alto
01.16-4-01,Cultivo de amendoim,Alto,Alto,Alto
01.16-4-02,Cultivo de girassol,Alto,Alto,Alto
01.16-4-03,Cultivo de mamona,Alto,Alto,Alto
01.16-4-99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,Alto,Alto,Alto
01.19-9-01,Cultivo de abacaxi,Alto,Alto,Alto
01.19-9-02,Cultivo de alho,Alto,Alto,Alto
01.19-9-03,Cultivo de batata-inglesa,Alto,Alto,Alto
01.19-9-04,Cultivo de cebola,Alto,Alto,Alto
01.19-9-05,Cultivo de feijão,Alto,Alto,Alto
01.19-9-06,Cultivo de mandioca,Alto,Alto,Alto
01.19-9-07,Cultivo de melão,Alto,Alto,Alto
01.19-9-08,Cultivo de melancia,Alto,Alto,Alto
01.19-9-09,Cultivo de tomate rasteiro,Alto,Alto,Alto
01.19-9-99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,Alto,Alto,Alto
01.21-1-01,"Horticultura, exceto morango",Alto,Alto,Alto
01.21-1-02,Cultivo de morango,Alto,Alto,Alto
01.22-9-00,Cultivo de flores e plantas ornamentais,Alto,Alto,Alto
01.31-8-00,Cultivo de laranja,Alto,Alto,Alto
01.32-6-00,Cultivo de uva,Alto,Alto,Alto
01.33-4-01,Cultivo de açaí,Alto,Alto,Alto
01.33-4-02,Cultivo de banana,Alto,Alto,Alto
01.33-4-03,Cultivo de caju,Alto,Alto,Alto
01.33-4-04,"Cultivo de cítricos, exceto laranja",Alto,Alto,Alto
01.33-4-05,Cultivo de coco-da-baía,Alto,Alto,Alto
01.33-4-06,Cultivo de guaraná,Alto,Alto,Alto
01.33-4-07,Cultivo de maçã,Alto,Alto,Alto
01.33-4-08,Cultivo de mamão,Alto,Alto,Alto
01.33-4-09,Cultivo de maracujá,Alto,Alto,Alto
01.33-4-10,Cultivo de manga,Alto,Alto,Alto
01.33-4-11,Cultivo de pêssego,Alto,Alto,Alto
01.33-4-99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,Alto,Alto,Alto
01.34-2-00,Cultivo de café,Alto,Alto,Alto
01.35-1-00,Cultivo de cacau,Alto,Alto,Alto
01.39-3-01,Cultivo de chá-da-índia,Alto,Alto,Alto
01.39-3-02,Cultivo de erva-mate,Alto,Alto,Alto
01.39-3-03,Cultivo de pimenta-do-reino,Alto,Alto,Alto
01.39-3-04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",Alto,Alto,Alto
01.39-3-05,Cultivo de dendê,Alto,Alto,Alto
01.39-3-06,Cultivo de seringueira,Alto,Alto,Alto
01.39-3-99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,Alto,Alto,Alto
01.41-5-01,"Produção de sementes certificadas, exceto de forrageiras para pasto",Alto,Alto,Alto
01.41-5-02,Produção de sementes certificadas de forrageiras para formação de pasto,Alto,Alto,Alto
01.42-3-00,"Produção de mudas e outras formas de propagação vegetal, certificadas",Alto,Alto,Alto
01.51-2-01,Criação de bovinos para corte,Alto,Alto,Alto
01.51-2-02,Criação de bovinos para leite,Alto,Alto,Alto
01.51-2-03,"Criação de bovinos, exceto para corte e leite",Alto,Alto,Alto
01.52-1-01,Criação de bufalinos,Alto,Alto,Alto
01.52-1-02,Criação de equinos,Alto,Alto,Alto
01.52-1-03,Criação de asininos e muares,Alto,Alto,Alto
01.53-9-01,Criação de caprinos,Alto,Alto,Alto
01.53-9-02,"Criação de ovinos, inclusive para produção de lã",Alto,Alto,Alto
01.54-7-00,Criação de suínos,Alto,Alto,Alto
01.55-5-01,Criação de frangos para corte,Alto,Alto,Alto
01.55-5-02,Produção de pintos de um dia,Alto,Alto,Alto
01.55-5-03,"Criação de outros galináceos, exceto para corte",Alto,Alto,Alto
01.55-5-04,"Criação de aves, exceto galináceos",Alto,Alto,Alto
01.55-5-05,Produção de ovos,Alto,Alto,Alto
01.59-8-01,Apicultura,Alto,Alto,Alto
01.59-8-02,Criação de animais de estimação,Alto,Alto,Alto
01.59-8-03,Criação de escargô,Alto,Alto,Alto
01.59-8-04,Criação de bicho-da-seda,Alto,Alto,Alto
01.59-8-99,Criação de outros animais não especificados anteriormente,Alto,Alto,Alto
01.61-0-01,Serviço de pulverização e controle de pragas agrícolas,Alto,Alto,Alto
01.61-0-02,Serviço de poda de árvores para lavouras,Baixo,Médio,Alto
01.61-0-03,"Serviço de preparação de terreno, cultivo e colheita",Baixo,Médio,Alto
01.61-0-99,Atividades de apoio à agricultura não especificadas anteriormente,Baixo,Médio,Alto
01.62-8-01,Serviço de inseminação artificial em animais,Baixo,Médio,Alto
01.62-8-02,Serviço de tosquiamento de ovinos,Baixo,Médio,Alto
01.62-8-03,Serviço de manejo de animais,Baixo,Médio,Alto
01.62-8-99,Atividades de apoio à pecuária não especificadas anteriormente,Baixo,Médio,Alto
01.63-6-00,Atividades de pós-colheita,Alto,Alto,Alto
01.70-9-00,Caça e serviços relacionados,Alto,Alto,Alto
02.10-1-01,Cultivo de eucalipto,Alto,Alto,Alto
02.10-1-02,Cultivo de acácia-negra,Alto,Alto,Alto
02.10-1-03,Cultivo de pinus,Alto,Alto,Alto
02.10-1-04,Cultivo de teca,Alto,Alto,Alto
02.10-1-05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",Alto,Alto,Alto
02.10-1-06,Cultivo de mudas em viveiros florestais,Alto,Alto,Alto
02.10-1-07,Extração de madeira em florestas plantadas,Alto,Alto,Alto
02.10-1-08,Produção de carvão vegetal - florestas plantadas,Alto,Alto,Alto
02.10-1-09,Produção de casca de acácia-negra - florestas plantadas,Alto,Alto,Alto
