codigo,descricao,la,outros_documentos
01.11-3-01,Cultivo de arroz,Sim,-
01.11-3-02,Cultivo de milho,Sim,-
01.11-3-03,Cultivo de trigo,Sim,-
01.11-3-99,Cultivo de outros cereais não especificados anteriormente,Sim,-
01.12-1-01,Cultivo de algodão herbáceo,Sim,-
01.12-1-02,Cultivo de juta,Sim,-
01.12-1-99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,Sim,-
01.13-0-00,Cultivo de cana-de-açúcar,Sim,-
01.14-8-00,Cultivo de fumo,Sim,-
01.15-6-00,Cultivo de soja,Sim,-
01.16-4-01,Cultivo de amendoim,Sim,-
01.16-4-02,Cultivo de girassol,Sim,-
01.16-4-03,Cultivo de mamona,Sim,-
01.16-4-99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,Sim,-
01.19-9-01,Cultivo de abacaxi,Sim,-
01.19-9-02,Cultivo de alho,Sim,-
01.19-9-03,Cultivo de batata-inglesa,Sim,-
01.19-9-04,Cultivo de cebola,Sim,-
01.19-9-05,Cultivo de feijão,Sim,-
01.19-9-06,Cultivo de mandioca,Sim,-
01.19-9-07,Cultivo de melão,Sim,-
01.19-9-08,Cultivo de melancia,Sim,-
01.19-9-09,Cultivo de tomate rasteiro,Sim,-
01.19-9-99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,Sim,-
01.21-1-01,"Horticultura, exceto morango",Sim,-
01.21-1-02,Cultivo de morango,Sim,-
01.22-9-00,Cultivo de flores e plantas ornamentais,Sim,-
01.31-8-00,Cultivo de laranja,Sim,-
01.32-6-00,Cultivo de uva,Sim,-
01.33-4-01,Cultivo de açaí,Sim,-
01.33-4-02,Cultivo de banana,Sim,-
01.33-4-03,Cultivo de caju,Sim,-
01.33-4-04,"Cultivo de cítricos, exceto laranja",Sim,-
01.33-4-05,Cultivo de coco-da-baía,Sim,-
01.33-4-06,Cultivo de guaraná,Sim,-
01.33-4-07,Cultivo de maçã,Sim,-
01.33-4-08,Cultivo de mamão,Sim,-
01.33-4-09,Cultivo de maracujá,Sim,-
01.33-4-10,Cultivo de manga,Sim,-
01.33-4-11,Cultivo de pêssego,Sim,-
01.33-4-99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,Sim,-
01.34-2-00,Cultivo de café,Sim,-
01.35-1-00,Cultivo de cacau,Sim,-
01.39-3-01,Cultivo de chá-da-índia,Sim,-
01.39-3-02,Cultivo de erva-mate,Sim,-
01.39-3-03,Cultivo de pimenta-do-reino,Sim,-
01.39-3-04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",Sim,-
01.39-3-05,Cultivo de dendê,Sim,-
01.39-3-06,Cultivo de seringueira,Sim,-
01.39-3-99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,Sim,-
01.41-5-01,"Produção de sementes certificadas, exceto de forrageiras para pasto",Sim,-
01.41-5-02,Produção de sementes certificadas de forrageiras para formação de pasto,Sim,-
01.42-3-00,"Produção de mudas e outras formas de propagação vegetal, certificadas",Sim,-
01.51-2-01,Criação de bovinos para corte,Sim,-
01.51-2-02,Criação de bovinos para leite,Sim,-
01.51-2-03,"Criação de bovinos, exceto para corte e leite",Sim,-
01.52-1-01,Criação de bufalinos,Sim,-
01.52-1-02,Criação de equinos,Sim,-
01.52-1-03,Criação de asininos e muares,Sim,-
01.53-9-01,Criação de caprinos,Sim,-
01.53-9-02,"Criação de ovinos, inclusive para produção de lã",Sim,-
01.54-7-00,Criação de suínos,Sim,-
01.55-5-01,Criação de frangos para corte,Sim,-
01.55-5-02,Produção de pintos de um dia,Sim,-
01.55-5-03,"Criação de outros galináceos, exceto para corte",Sim,-
01.55-5-04,"Criação de aves, exceto galináceos",Sim,-
01.55-5-05,Produção de ovos,Sim,-
01.59-8-01,Apicultura,Sim,-
01.59-8-02,Criação de animais de estimação,Sim,-
01.59-8-03,Criação de escargô,Sim,-
01.59-8-04,Criação de bicho-da-seda,Sim,-
01.59-8-99,Criação de outros animais não especificados anteriormente,Sim,-
01.61-0-01,Serviço de pulverização e controle de pragas agrícolas,Sim,-
01.63-6-00,Atividades de pós-colheita,Sim,-
01.70-9-00,Caça e serviços relacionados,Sim,-
01.61-0-02,Serviço de poda de árvores para lavouras,Não,-
01.61-0-03,"Serviço de preparação de terreno, cultivo e colheita",Não,-
01.61-0-99,Atividades de apoio à agricultura não especificadas anteriormente,Não,-
01.62-8-01,Serviço de inseminação artificial em animais,Não,-
01.62-8-02,Serviço de tosquiamento de ovinos,Não,-
01.62-8-03,Serviço de manejo de animais,Não,-
01.62-8-99,Atividades de apoio à pecuária não especificadas anteriormente,Não,-
02.10-1-01,Cultivo de eucalipto,Sim,-
02.10-1-02,Cultivo de acácia-negra,Sim,-
02.10-1-03,Cultivo de pinus,Sim,-
02.10-1-04,Cultivo de teca,Sim,-
02.10-1-05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",Sim,-
02.10-1-06,Cultivo de mudas em viveiros florestais,Sim,-
02.10-1-07,Extração de madeira em florestas plantadas,Sim,-
02.10-1-08,Produção de carvão vegetal - florestas plantadas,Sim,-
02.10-1-09,Produção de casca de acácia-negra - florestas plantadas,Sim,-
02.10-1-99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,Sim,-
02.20-9-01,Extração de madeira em florestas nativas,Sim,-
02.20-9-02,Produção de carvão vegetal - florestas nativas,Sim,-
02.20-9-03,Coleta de castanha-do-pará em florestas nativas,Sim,-
02.20-9-04,Coleta de látex em florestas nativas,Sim,-
02.20-9-05,Coleta de palmito em florestas nativas,Sim,-
02.20-9-06,Conservação de florestas nativas,Sim,-
02.20-9-99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,Sim,-
02.30-6-00,Atividades de apoio à produção florestal,Não,-
03.11-6-01,Pesca de peixes em água salgada,Sim,-
03.11-6-02,Pesca de crustáceos e moluscos em água salgada,Sim,-
03.11-6-03,Coleta de outros produtos marinhos,Sim,-
03.11-6-04,Atividades de apoio à pesca em água salgada,Sim,-
03.12-4-01,Pesca de peixes em água doce,Sim,-
03.12-4-02,Pesca de crustáceos e moluscos em água doce,Sim,-
03.12-4-03,Coleta de outros produtos aquáticos de água doce,Sim,-
03.21-3-01,Criação de peixes em água salgada e salobra,Sim,-
03.21-3-02,Criação de camarões em água salgada e salobra,Sim,-
03.21-3-03,Criação de ostras e mexilhões em água salgada e salobra,Sim,-
